,date,Adjusted Close,1 Month Change,Monthly Change Std,Unadjusted Equity,Unadjusted CAGR,Max Equity,Dropdown,DD Percentage
120,2005-01-31,85.8334,-0.0224,,2932.3153,,3527.4472,595.1318589241205,0.1687146044097047
121,2005-02-28,87.6276,0.0209,,2993.6119,,3527.4472,533.8353277715255,0.15133758140207612
122,2005-03-31,86.0257,-0.0183,,2938.8867,,3527.4472,588.5604654055496,0.1668516726219317
123,2005-04-29,84.414,-0.0187,,2883.8262,,3527.4472,643.6209672664186,0.182460836626107
124,2005-05-31,87.1342,0.0322,,2976.7565,,3527.4472,550.6906821751295,0.15611592490317913
125,2005-06-30,87.2647,0.0015,,2981.2126,,3527.4472,546.2345705462999,0.15485265677294896
126,2005-07-29,90.6035,0.0383,,3095.2781,,3527.4472,432.1690928820726,0.12251610538127193
127,2005-08-31,89.7542,-0.0094,,3066.2615,,3527.4472,461.18566215218425,0.13074204545207205
128,2005-09-30,90.4716,0.008,,3090.7693,,3527.4472,436.6779364131403,0.12379432253816308
129,2005-10-31,88.3318,-0.0237,,3017.6699,,3527.4472,509.77734186452653,0.14451735574228483
130,2005-11-30,92.2142,0.044,,3150.3038,,3527.4472,377.14337555671045,0.10691680248444553
131,2005-12-30,92.0391,-0.0019,,3144.3211,,3527.4472,383.1261070276955,0.10861285380194934
132,2006-01-31,94.2493,0.024,,3219.8292,,3527.4472,307.6180062469962,0.08720697683213974
133,2006-02-28,94.789,0.0057,,3238.2642,,3527.4472,289.1830067799233,0.08198081796374536
134,2006-03-31,96.3534,0.0165,,3291.7092,,3527.4472,235.73802838271422,0.06682964053514798
135,2006-04-28,97.5705,0.0126,,3333.2897,,3527.4472,194.15750256875845,0.05504193020061603
136,2006-05-31,94.6316,-0.0301,,3232.8879,,3527.4472,294.559295893077,0.0835049482507001
137,2006-06-30,94.8818,0.0026,,3241.4369,,3527.4472,286.010261274575,0.08108137274870478
138,2006-07-31,95.3067,0.0045,,3255.9531,,3527.4472,271.4941092612503,0.07696617238133296
