,date,adjClose,1 Month Change,5 Month Change,Unadjusted Equity,In Market?,Adjusted Equity,Adjusted CAGR,Unadjusted CAGR,Max Unadjusted,Max Adjusted,DD Unadjusted,DD Unadjusted Percentage,DD Adjusted,Sharpe Ratio,DD Adjusted Percentage
94,2002-11-29,65.5931,0.0617,-0.0461,2240.8495,True,2387.3119,0.1324,0.1222,3527.4472,3069.1754,1286.5976736986577,0.36473903101899235,681.8634672254107,,0.2221650373013581
95,2002-12-31,61.8782,-0.0566,-0.0231,2113.936,True,2252.1033,0.123,0.1129,3527.4472,3069.1754,1413.5112039843575,0.4007178913930611,817.0720931172577,,0.2662187677893084
96,2003-01-31,60.3563,-0.0246,-0.0536,2061.944,False,2252.1033,0.1068,0.0947,3527.4472,3069.1754,1465.5031741177268,0.4154571538640541,817.0720931172577,,0.2662187677893084
97,2003-02-28,59.5427,-0.0135,0.0431,2034.1512,False,2252.1033,0.1068,0.0928,3527.4472,3069.1754,1493.295956801675,0.4233361612901463,817.0720931172577,,0.2662187677893084
98,2003-03-31,59.6654,0.0021,-0.0343,2038.3416,True,2256.7426,0.1071,0.0931,3527.4472,3069.1754,1489.1056434170016,0.4221482446050508,812.432802571851,,0.2647071922223314
99,2003-04-30,64.7138,0.0846,-0.0134,2210.8094,True,2447.6897,0.1184,0.1043,3527.4472,3069.1754,1316.6378414847186,0.37325515219185096,621.4856896857013,,0.2024927248164772
100,2003-05-30,68.2624,0.0548,0.1032,2332.0417,True,2581.9116,0.1259,0.1116,3527.4472,3069.1754,1195.4055141388253,0.33888686247063465,487.26375007835304,,0.15876047686240188
101,2003-06-30,68.9903,0.0107,0.1431,2356.9062,True,2609.4403,0.1274,0.1131,3527.4472,3069.1754,1170.5410002001831,0.33183799326611696,459.7350919943051,,0.1497910780838088
102,2003-07-31,70.234,0.018,0.1796,2399.3948,True,2656.4814,0.1299,0.1156,3527.4472,3069.1754,1128.0524233989267,0.3197928585292295,412.6940154574404,,0.1344641350433867
103,2003-08-29,71.6826,0.0206,0.2014,2448.8843,True,2711.2736,0.1328,0.1185,3527.4472,3069.1754,1078.5628717378945,0.3057630095038402,357.9018345295799,,0.11661172395998609
104,2003-09-30,70.9023,-0.0109,0.0956,2422.2252,True,2681.758,0.1312,0.1169,3527.4472,3069.1754,1105.2220187576117,0.31332064127213916,387.41741424005295,,0.12622850236583186
105,2003-10-31,74.6974,0.0535,0.0943,2551.8792,True,2825.304,0.1386,0.1242,3527.4472,3069.1754,975.567995325739,0.27656487539366686,243.87142379419674,,0.07945828830577645
106,2003-11-28,75.5132,0.0109,0.0945,2579.7486,True,2856.1595,0.1402,0.1258,3527.4472,3069.1754,947.698615548858,0.2686641533709868,213.01593919532388,,0.06940494153423876
107,2003-12-31,79.3132,0.0503,0.1293,2709.5687,True,2999.8894,0.1472,0.1327,3527.4472,3069.1754,817.8784858689105,0.231861297844206,69.28604480828608,,0.02257480781589937
108,2004-01-30,80.8813,0.0198,0.1283,2763.1368,True,3059.1971,0.1323,0.1196,3527.4472,3069.1754,764.3103508686122,0.21667520661077852,9.978274857007818,,0.003251125646650178
109,2004-02-27,81.9789,0.0136,0.1562,2800.6343,True,3100.7123,0.134,0.1212,3527.4472,3100.7123,726.8128706400394,0.20604500349148794,-2.6878808057517745e-05,,-8.668591425756509e-09
110,2004-03-31,80.8969,-0.0132,0.083,2763.6727,True,3059.7904,0.1323,0.1196,3527.4472,3100.7123,763.7745212509567,0.21652330366587957,40.92193300349163,,0.013197591083665397
111,2004-04-30,79.3663,-0.0189,0.051,2711.3804,True,3001.8952,0.1299,0.1172,3527.4472,3100.7123,816.0668012982301,0.23134770133433324,98.81714468585142,,0.0318691755716425
112,2004-05-31,80.7253,0.0171,0.0178,2757.8082,True,3053.2975,0.132,0.1193,3527.4472,3100.7123,769.6390054545864,0.21818583293169813,47.414775810691026,,0.015291575361793812
113,2004-06-30,82.2181,0.0185,0.0165,2808.8063,True,3109.7599,0.1344,0.1216,3527.4472,3109.7599,718.6409313512522,0.20372833117140696,3.9631506297155283e-05,,1.274423350084207e-08
114,2004-07-30,79.5691,-0.0322,-0.0294,2718.3103,True,3009.5676,0.1302,0.1175,3527.4472,3109.7599,809.1369031344611,0.22938313665884527,100.19233260579131,,0.0322186714819338
115,2004-08-31,79.7629,0.0024,-0.014,2724.9321,False,3009.5676,0.1302,0.1178,3527.4472,3109.7599,802.5151294214293,0.22750592253271126,100.19233260579131,,0.0322186714819338
116,2004-09-30,80.562,0.01,0.0151,2752.2285,True,3039.7153,0.1315,0.1191,3527.4472,3109.7599,775.2186668370487,0.2197676174535082,70.04459080131437,,0.022524115383092555
117,2004-10-29,81.6,0.0129,0.0108,2787.6902,True,3078.8812,0.1331,0.1207,3527.4472,3109.7599,739.7570056383975,0.2097145509756737,30.878746418733954,,0.00992962396188013
118,2004-11-30,85.232,0.0445,0.0367,2911.7704,True,3215.9223,0.1386,0.1261,3527.4472,3215.9223,615.6767501163254,0.17453889887177484,-3.593041947169695e-05,,-1.1172664050899784e-08
119,2004-12-31,87.802,0.0302,0.1035,2999.568,True,3312.8908,0.1424,0.1298,3527.4472,3312.8908,527.8792237445941,0.1496490787288309,-4.0473616081726504e-05,,-1.221700880745194e-08
120,2005-01-31,85.8334,-0.0224,0.0761,2932.3153,True,3238.6133,0.1247,0.1136,3527.4472,3312.8908,595.1318589241205,0.1687146044097047,74.27753577991689,,0.022420761885636825
121,2005-02-28,87.6276,0.0209,0.0877,2993.6119,True,3306.3126,0.127,0.1159,3527.4472,3312.8908,533.8353277715255,0.15133758140207612,6.578214339052465,,0.0019856417661132885
122,2005-03-31,86.0257,-0.0183,0.0542,2938.8867,True,3245.8711,0.1249,0.1138,3527.4472,3312.8908,588.5604654055496,0.1668516726219317,67.0197207981746,,0.02022998186302265
123,2005-04-29,84.414,-0.0187,-0.0096,2883.8262,True,3185.0592,0.1228,0.1117,3527.4472,3312.8908,643.6209672664186,0.182460836626107,127.8316222888916,,0.0385861261375991
124,2005-05-31,87.1342,0.0322,-0.0076,2976.7565,False,3185.0592,0.1228,0.1153,3527.4472,3312.8908,550.6906821751295,0.15611592490317913,127.8316222888916,,0.0385861261375991
125,2005-06-30,87.2647,0.0015,0.0167,2981.2126,True,3189.8271,0.123,0.1154,3527.4472,3312.8908,546.2345705462999,0.15485265677294896,123.06368807750368,,0.03714691956568676
126,2005-07-29,90.6035,0.0383,0.034,3095.2781,True,3311.8745,0.1272,0.1196,3527.4472,3312.8908,432.1690928820726,0.12251610538127193,1.0163206428578633,,0.00030677758616669867
127,2005-08-31,89.7542,-0.0094,0.0433,3066.2615,True,3280.8274,0.1262,0.1186,3527.4472,3312.8908,461.18566215218425,0.13074204545207205,32.063364533094955,,0.009678364446269993
128,2005-09-30,90.4716,0.008,0.0718,3090.7693,True,3307.0501,0.1271,0.1195,3527.4472,3312.8908,436.6779364131403,0.12379432253816308,5.840676744371649,,0.0017630151722391964
129,2005-10-31,88.3318,-0.0237,0.0137,3017.6699,True,3228.8355,0.1244,0.1168,3527.4472,3312.8908,509.77734186452653,0.14451735574228483,84.05531432860062,,0.025372195886625846
130,2005-11-30,92.2142,0.044,0.0567,3150.3038,True,3370.7507,0.1292,0.1216,3527.4472,3370.7507,377.14337555671045,0.10691680248444553,2.5417730284971185e-06,,7.540673442557228e-10
131,2005-12-30,92.0391,-0.0019,0.0158,3144.3211,True,3364.3493,0.129,0.1214,3527.4472,3370.7507,383.1261070276955,0.10861285380194934,6.401383933008219,,0.0018990974126351793
132,2006-01-31,94.2493,0.024,0.0501,3219.8292,True,3445.1412,0.119,0.1122,3527.4472,3445.1412,307.6180062469962,0.08720697683213974,-7.720382200204767e-07,,-2.240947976299133e-10
